DayOrder,DayOfWeekStr,starttime,endtime,permit,PermitLocation,locationdesc,optionaltext,locationid,scheduleid,start24,end24,CNN,Addr_Date_Create,Addr_Date_Modified,block,lot,ColdTruck,Applicant,X,Y,Latitude,Longitude,Location
2,Tuesday,6AM,7AM,15MFF-0119,Assessors Block 7295/Lot022,Setup at 501 Buckingham Way. 11:50am-12:00pm,"Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",645782,,06:00,07:00,0,06/07/2011 10:17:00 AM,06/07/2011 10:18:22 AM,7295,022,Y,Natan's Catering,5989624.724,2094318.981,37.7300036831892,-122.478186325415,
2,Tuesday,8AM,9AM,15MFF-0119,Assessors Block 7295/Lot022,Setup at 501 Buckingham Way. 11:50am-12:00pm,"Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",645782,,08:00,09:00,0,06/07/2011 10:17:00 AM,06/07/2011 10:18:22 AM,7295,022,Y,Natan's Catering,5989624.724,2094318.981,37.7300036831892,-122.478186325415,
2,Tuesday,11AM,12PM,15MFF-0119,Assessors Block 7295/Lot022,Setup at 501 Buckingham Way. 11:50am-12:00pm,"Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",645782,,11:00,12:00,0,06/07/2011 10:17:00 AM,06/07/2011 10:18:22 AM,7295,022,Y,Natan's Catering,5989624.724,2094318.981,37.7300036831892,-122.478186325415,
2,Tuesday,7PM,8PM,15MFF-0119,Assessors Block 7295/Lot022,Setup at 501 Buckingham Way. 11:50am-12:00pm,"Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",645782,,19:00,20:00,0,06/07/2011 10:17:00 AM,06/07/2011 10:18:22 AM,7295,022,Y,Natan's Catering,5989624.724,2094318.981,37.7300036831892,-122.478186325415,
2,Tuesday,9AM,11AM,15MFF-0065,Assessors Block 3788/Lot002,"Setup at 56 Stanford St. 9:00am-3:00pm (Sat), 9:30am-2:00pm (Sun)","Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks",631780,,09:00,11:00,12068000,06/16/2011 02:40:25 PM,06/16/2011 02:41:52 PM,3788,002,Y,Mike's Catering,6015005.151,2112394.09,37.7810746780754,-122.391705661167,
2,Tuesday,8AM,9AM,13MFF-0102,Assessors Block 4241/Lot002,Setup at 630 25th St. 11:40am-12:00pm,"Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",437213,,08:00,09:00,1400001,06/07/2011 12:27:26 PM,06/07/2011 12:27:47 PM,4241,002,Y,Natan's Catering,6016991.219,2102253.193,37.7533400011811,-122.384128384237,
2,Tuesday,11AM,12PM,13MFF-0102,Assessors Block 4241/Lot002,Setup at 630 25th St. 11:40am-12:00pm,"Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",437213,,11:00,12:00,1400001,06/07/2011 12:27:26 PM,06/07/2011 12:27:47 PM,4241,002,Y,Natan's Catering,6016991.219,2102253.193,37.7533400011811,-122.384128384237,
2,Tuesday,7PM,8PM,13MFF-0102,Assessors Block 4241/Lot002,Setup at 630 25th St. 11:40am-12:00pm,"Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",437213,,19:00,20:00,1400001,06/07/2011 12:27:26 PM,06/07/2011 12:27:47 PM,4241,002,Y,Natan's Catering,6016991.219,2102253.193,37.7533400011811,-122.384128384237,
2,Tuesday,12PM,1PM,15MFF-0119,Assessors Block 4241/Lot002,Setup at 630 25th St. 11:40am-12:00pm,"Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",645801,,12:00,13:00,1400001,06/07/2011 12:27:26 PM,06/07/2011 12:27:47 PM,4241,002,Y,Natan's Catering,6016991.219,2102253.193,37.7533400011811,-122.384128384237,
2,Tuesday,7PM,8PM,15MFF-0119,Assessors Block 4241/Lot002,Setup at 630 25th St. 11:40am-12:00pm,"Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",645801,,19:00,20:00,1400001,06/07/2011 12:27:26 PM,06/07/2011 12:27:47 PM,4241,002,Y,Natan's Catering,6016991.219,2102253.193,37.7533400011811,-122.384128384237,
